Value,Disaggregation combinations using this value,Number of indicators
Trinidad García de la Cadena,15,2
Trinidad Zaachila,15,2
Tubutama,15,2
Tula de Allende,15,2
Tula,15,2
Tulancingo de Bravo,15,2
Tulcingo,15,2
Tultepec,15,2
Tultitlán,15,2
Tulum,15,2
Tumbalá,15,2
Tumbiscatío,15,2
Tunkás,15,2
Turicato,15,2
Tuxcacuesco,15,2
Tuxcueca,15,2
Tuxpan,60,2
Tuxtilla,15,2
Tuxtla Chico,15,2
Tuxtla Gutiérrez,15,2
Tuzamapan de Galeana,15,2
Tuzantla,15,2
Tuzantán,15,2
Tzicatlacoyan,15,2
Tzimol,15,2
Tzintzuntzan,15,2
Tzitzio,15,2
Tzompantepec,15,2
Tzucacab,15,2
Técpan de Galeana,15,2
Uayma,15,2
Ucú,15,2
Umán,15,2
Unión de San Antonio,15,2
Unión de Tula,15,2
Unión Hidalgo,15,2
Unión Juárez,15,2
Ures,15,2
Uriangato,15,2
Urique,15,2
Ursulo Galván,15,2
Uruachi,15,2
Uruapan,15,2
Uxpanapa,15,2
Valerio Trujano,15,2
Valladolid,15,2
Valle de Bravo,15,2
Valle de Chalco Solidaridad,15,2
Valle de Guadalupe,15,2
Valle de Juárez,15,2
Valle de Santiago,15,2
Valle de Zaragoza,15,2
Valle Hermoso,15,2
Vallecillo,15,2
Valparaíso,15,2
Vanegas,15,2
Vega de Alatorre,15,2
Venado,15,2
Venustiano Carranza,60,2
Veracruz,15,2
Vetagrande,15,2
Vicente Guerrero,30,2
Victoria,30,2
Viesca,15,2
Villa Aldama,15,2
Villa Comaltitlán,15,2
Villa Corona,15,2
Villa Corzo,15,2
Villa de Allende,15,2
Villa de Arista,15,2
Villa de Arriaga,15,2
Villa de Chilapa de Díaz,15,2
Villa de Cos,15,2
Villa de Etla,15,2
Villa de Guadalupe,15,2
Villa de la Paz,15,2
Villa de Ramos,15,2
Villa de Reyes,15,2
Villa de Tamazulápam del Progreso,15,2
Villa de Tezontepec,15,2
Villa de Tututepec de Melchor Ocampo,15,2
Villa de Zaachila,15,2
Villa de Álvarez,15,2
Villa del Carbón,15,2
Villa Díaz Ordaz,15,2
Villa García,15,2
Villa González Ortega,15,2
Villa Guerrero,30,2
Villa Hidalgo,75,2
Villa Juárez,15,2
Villa Pesqueira,15,2
Villa Purificación,15,2
Villa Sola de Vega,15,2
Villa Talea de Castro,15,2
Villa Tejúpam de la Unión,15,2
Villa Unión,15,2
Villa Victoria,15,2
Villaflores,15,2
Villagrán,30,2
Villaldama,15,2
Villamar,15,2
Villanueva,15,2
Vista Hermosa,15,2
Xalapa,15,2
Xalatlaco,15,2
Xalisco,15,2
Xaloztoc,15,2
Xalpatláhuac,15,2
Xaltocan,15,2
Xayacatlán de Bravo,15,2
Xichú,15,2
Xico,15,2
Xicohtzinco,15,2
Xicotepec,15,2
Xicotlán,15,2
Xicoténcatl,15,2
Xilitla,15,2
Xiutetelco,15,2
Xocchel,15,2
Xochiapulco,15,2
Xochiatipan,15,2
Xochicoatlán,15,2
Xochihuehuetlán,15,2
Xochiltepec,15,2
Xochimilco,15,2
Xochistlahuaca,15,2
Xochitepec,15,2
Xochitlán de Vicente Suárez,15,2
Xochitlán Todos Santos,15,2
Xonacatlán,15,2
Xoxocotla,30,2
Yahualica de González Gallo,15,2
Yahualica,15,2
Yajalón,15,2
Yanga,15,2
Yaonáhuac,15,2
Yauhquemehcan,15,2
Yautepec,15,2
Yaxcabá,15,2
Yaxe,15,2
Yaxkukul,15,2
Yecapixtla,15,2
Yecuatla,15,2
Yehualtepec,15,2
Yobaín,15,2
Yogana,15,2
Yuriria,15,2
Yurécuaro,15,2
Yutanduchi de Guerrero,15,2
Yécora,15,2
Zacapala,15,2
Zacapoaxtla,15,2
Zacapu,15,2
Zacatecas,15,2
Zacatelco,15,2
Zacatepec,15,2
Zacatlán,15,2
Zacazonapan,15,2
Zacoalco de Torres,15,2
Zacualpan de Amilpas,15,2
Zacualpan,30,2
Zacualtipán de Ángeles,15,2
Zamora,15,2
Zapopan,15,2
Zapotiltic,15,2
Zapotitlán de Méndez,15,2
Zapotitlán de Vadillo,15,2
Zapotitlán Lagunas,15,2
Zapotitlán Palmas,15,2
Zapotitlán Tablas,15,2
Zapotitlán,15,2
Zapotlanejo,15,2
Zapotlán de Juárez,15,2
Zapotlán del Rey,15,2
Zapotlán el Grande,15,2
Zaragoza,60,2
Zautla,15,2
Zempoala,15,2
Zentla,15,2
Zihuatanejo de Azueta,15,2
Zihuateutla,15,2
Ziltlaltépec de Trinidad Sánchez Santos,15,2
Zimapán,15,2
Zimatlán de Álvarez,15,2
Zinacantepec,15,2
Zinacantán,15,2
Zinacatepec,15,2
Zinapécuaro,15,2
Zináparo,15,2
Ziracuaretiro,15,2
Zirándaro,15,2
Zitlala,15,2
Zitácuaro,15,2
Zongolica,15,2
Zongozotla,15,2
Zontecomatlán de López y Fuentes,15,2
Zoquiapan,15,2
Zoquitlán,15,2
Zozocolco de Hidalgo,15,2
Zumpahuacán,15,2
Zumpango,15,2
Álamo Temapache,15,2
Álvaro Obregón,30,2
Ánimas Trujano,15,2
