Value,Disaggregation combinations using this value,Number of indicators
Ciudad Valles,15,2
Ciénega de Flores,15,2
Ciénega de Zimatlán,15,2
Coacalco de Berriozábal,15,2
Coacoatzintla,15,2
Coahuayana,15,2
Coahuayutla de José María Izazaga,15,2
Coahuitlán,15,2
Coalcomán de Vázquez Pallares,15,2
Coapilla,15,2
Coatecas Altas,15,2
Coatepec Harinas,15,2
Coatepec,30,2
Coatetelco,15,2
Coatlán del Río,15,2
Coatzacoalcos,15,2
Coatzingo,15,2
Coatzintla,15,2
Cochoapa el Grande,15,2
Cocotitlán,15,2
Cocula,30,2
Coeneo,15,2
Coetzala,15,2
Cohetzala,15,2
Cohuecan,15,2
Coicoyán de las Flores,15,2
Cojumatlán de Régules,15,2
Colima,15,2
Colipa,15,2
Colotlán,15,2
Colón,15,2
Comala,15,2
Comalcalco,15,2
Comapa,15,2
Comitán de Domínguez,15,2
Comondú,15,2
Comonfort,15,2
Compostela,15,2
Concepción Buenavista,15,2
Concepción de Buenos Aires,15,2
Concepción del Oro,15,2
Concepción Pápalo,15,2
Concordia,15,2
Coneto de Comonfort,15,2
Conkal,15,2
Constancia del Rosario,15,2
Contepec,15,2
Contla de Juan Cuamatzi,15,2
Copainalá,15,2
Copala,15,2
Copalillo,15,2
Copanatoyac,15,2
Copándaro,15,2
Coquimatlán,15,2
Coronado,15,2
Coronango,15,2
Coroneo,15,2
Corregidora,15,2
Cortazar,15,2
Cosalá,15,2
Cosamaloapan de Carpio,15,2
Cosautlán de Carvajal,15,2
Coscomatepec,15,2
Cosolapa,15,2
Cosoleacaque,15,2
Cosoltepec,15,2
Cosío,15,2
Cotaxtla,15,2
Cotija,15,2
Coxcatlán,30,2
Coxquihui,15,2
Coyame del Sotol,15,2
Coyoacán,15,2
Coyomeapan,15,2
Coyotepec,30,2
Coyuca de Benítez,15,2
Coyuca de Catalán,15,2
Coyutla,15,2
Cozumel,15,2
Cruillas,15,2
Cuajimalpa de Morelos,15,2
Cuajinicuilapa,15,2
Cualác,15,2
Cuapiaxtla de Madero,15,2
Cuapiaxtla,15,2
Cuatro Ciénegas,15,2
Cuauhtémoc,60,2
Cuautempan,15,2
Cuautepec de Hinojosa,15,2
Cuautepec,15,2
Cuautinchán,15,2
Cuautitlán de García Barragán,15,2
