Value,Disaggregation combinations using this value,Number of indicators
Hidalgo-Singuilucan,1,1
Hidalgo-Tasquillo,1,1
Hidalgo-Tecozautla,1,1
Hidalgo-Tenango de Doria,1,1
Hidalgo-Tepeapulco,1,1
Hidalgo-Tepehuacán de Guerrero,1,1
Hidalgo-Tepeji del Río de Ocampo,1,1
Hidalgo-Tepetitlán,1,1
Hidalgo-Tetepango,1,1
Hidalgo-Tezontepec de Aldama,1,1
Hidalgo-Tianguistengo,1,1
Hidalgo-Tizayuca,1,1
Hidalgo-Tlahuelilpan,1,1
Hidalgo-Tlahuiltepa,1,1
Hidalgo-Tlanalapa,1,1
Hidalgo-Tlanchinol,1,1
Hidalgo-Tlaxcoapan,1,1
Hidalgo-Tolcayuca,1,1
Hidalgo-Tula de Allende,1,1
Hidalgo-Tulancingo de Bravo,1,1
Hidalgo-Villa de Tezontepec,1,1
Hidalgo-Xochiatipan,1,1
Hidalgo-Xochicoatlán,1,1
Hidalgo-Yahualica,1,1
Hidalgo-Zacualtipán de Ángeles,1,1
Hidalgo-Zapotlán de Juárez,1,1
Hidalgo-Zempoala,1,1
Hidalgo-Zimapán,1,1
Hidalgo,1,1
Jalisco-Acatic,1,1
Jalisco-Acatlán de Juárez,1,1
Jalisco-Ahualulco de Mercado,1,1
Jalisco-Amacueca,1,1
Jalisco-Amatitán,1,1
Jalisco-Ameca,1,1
Jalisco-Arandas,1,1
Jalisco-Atemajac de Brizuela,1,1
Jalisco-Atengo,1,1
Jalisco-Atenguillo,1,1
Jalisco-Atotonilco el Alto,1,1
Jalisco-Atoyac,1,1
Jalisco-Autlán de Navarro,1,1
Jalisco-Ayotlán,1,1
Jalisco-Ayutla,1,1
Jalisco-Bolaños,1,1
Jalisco-Cabo Corrientes,1,1
Jalisco-Casimiro Castillo,1,1
Jalisco-Cañadas de Obregón,1,1
Jalisco-Chapala,1,1
Jalisco-Chimaltitán,1,1
Jalisco-Chiquilistlán,1,1
Jalisco-Cihuatlán,1,1
Jalisco-Cocula,1,1
Jalisco-Colotlán,1,1
Jalisco-Concepción de Buenos Aires,1,1
Jalisco-Cuautitlán de García Barragán,1,1
Jalisco-Cuautla,1,1
Jalisco-Cuquío,1,1
Jalisco-Degollado,1,1
Jalisco-Ejutla,1,1
Jalisco-El Arenal,1,1
Jalisco-El Grullo,1,1
Jalisco-El Limón,1,1
Jalisco-El Salto,1,1
Jalisco-Encarnación de Díaz,1,1
Jalisco-Etzatlán,1,1
Jalisco-Guachinango,1,1
Jalisco-Guadalajara,1,1
Jalisco-Gómez Farías,1,1
Jalisco-Hostotipaquillo,1,1
Jalisco-Huejuquilla el Alto,1,1
Jalisco-Huejúcar,1,1
Jalisco-Ixtlahuacán de los Membrillos,1,1
Jalisco-Ixtlahuacán del Río,1,1
Jalisco-Jalostotitlán,1,1
Jalisco-Jamay,1,1
Jalisco-Jesús María,1,1
Jalisco-Jilotlán de los Dolores,1,1
Jalisco-Jocotepec,1,1
Jalisco-Juanacatlán,1,1
Jalisco-Juchitlán,1,1
Jalisco-La Barca,1,1
Jalisco-La Huerta,1,1
Jalisco-La Manzanilla de la Paz,1,1
Jalisco-Lagos de Moreno,1,1
Jalisco-Magdalena,1,1
Jalisco-Mascota,1,1
Jalisco-Mazamitla,1,1
Jalisco-Mexticacán,1,1
Jalisco-Mezquitic,1,1
Jalisco-Mixtlán,1,1
Jalisco-Ocotlán,1,1
Jalisco-Ojuelos de Jalisco,1,1
Jalisco-Pihuamo,1,1
Jalisco-Poncitlán,1,1
Jalisco-Puerto Vallarta,1,1
Jalisco-Quitupan,1,1
Jalisco-San Cristóbal de la Barranca,1,1
Jalisco-San Diego de Alejandría,1,1
Jalisco-San Gabriel,1,1
Jalisco-San Ignacio Cerro Gordo,1,1
Jalisco-San Juan de los Lagos,1,1
Jalisco-San Juanito de Escobedo,1,1
Jalisco-San Julián,1,1
Jalisco-San Marcos,1,1
Jalisco-San Martín de Bolaños,1,1
Jalisco-San Martín Hidalgo,1,1
Jalisco-San Miguel el Alto,1,1
Jalisco-San Pedro Tlaquepaque,1,1
Jalisco-San Sebastián del Oeste,1,1
Jalisco-Santa María de los Ángeles,1,1
Jalisco-Santa María del Oro,1,1
Jalisco-Sayula,1,1
Jalisco-Tala,1,1
Jalisco-Talpa de Allende,1,1
Jalisco-Tamazula de Gordiano,1,1
Jalisco-Tapalpa,1,1
Jalisco-Tecalitlán,1,1
Jalisco-Techaluta de Montenegro,1,1
Jalisco-Tecolotlán,1,1
Jalisco-Tenamaxtlán,1,1
Jalisco-Teocaltiche,1,1
Jalisco-Teocuitatlán de Corona,1,1
Jalisco-Tepatitlán de Morelos,1,1
Jalisco-Tequila,1,1
Jalisco-Teuchitlán,1,1
Jalisco-Tizapán el Alto,1,1
Jalisco-Tlajomulco de Zúñiga,1,1
Jalisco-Tolimán,1,1
Jalisco-Tomatlán,1,1
Jalisco-Tonalá,1,1
